TIPO;SIMILARITA;PRODOTTO_A;OCCORRENZE_A;PRODOTTO_B;OCCORRENZE_B;MANTIENI;ELIMINA;NOTE;PROPOSTA;RAGIONAMENTO;CONFIDENZA
ERRORE_BATTITURA;98%;GRATTUGIATO FRESCO GRAN BIRAGHI;1;GRATTUGIATO FRESCO GRAN BIRAGHNI;1;GRATTUGIATO FRESCO GRAN BIRAGHI;;"VERIFICATO: ""BIRAGHI"" è la dicitura corretta";GRATTUGIATO FRESCO GRAN BIRAGHI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;BARATTOLINO SUBLIME SAMMONTANA;1;BARATTOLINO SUBLIME SAMONTANA;1;BARATTOLINO SUBLIME SAMMONTANA;;"VERIFICATO: ""SAMMONTANA"" è la dicitura corretta";BARATTOLINO SUBLIME SAMMONTANA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;AMMORBIDENTE CHANTECLAIR;1;AMMORBIDENTE CHANTRECLAIR;1;AMMORBIDENTE CHANTECLAIR;;VERIFICATO: CHANTECLAIR (una parola) è il marchio ufficiale;AMMORBIDENTE CHANTECLAIR;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;MAXBON NESTLÉ CLASSIC;1;MAXIBON NESTLÉ CLASSIC;1;MAXIBON NESTLÉ CLASSIC;;"VERIFICATO: ""MAXIBON"" è la dicitura corretta";MAXIBON NESTLÉ CLASSIC;GIA COMPILATO;ALTA
ERRORE_BATTITURA;95%;GRATTIGIATO FRESCO GRAN BIRAGHI;1;GRATTUGIATO FRESCO GRAN BIRAGHNI;1;GRATTIGIATO FRESCO GRAN BIRAGHI;;"VERIFICATO: ""BIRAGHI"" è la dicitura corretta";GRATTIGIATO FRESCO GRAN BIRAGHI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;SGRASSATORE UNIVERSALE CHAMTE CLAIR;1;SGRASSATORE UNIVERSALE CHANTE CLAIR;1;SGRASSATORE UNIVERSALE CHANTE CLAIR;;"ENTRAMBE ERRATE: nessuna è ""CHANTECLAIR"" - servirebbe creare il prodotto corretto e migrare entrambe";SGRASSATORE UNIVERSALE CHANTE CLAIR;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GRATTUGIATO FRESCO GRAN BIRAGHINI;1;GRATTUGIATO FRESCO GRAN BIRAGHNI;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;;NON DUPLICATO: BIRAGHINI è un prodotto diverso (formaggio in cubetti), non un refuso;GRATTUGIATO FRESCO GRAN BIRAGHINI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;GRATTUGIATO FRESCO GRAN BIRAGHI;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;;NON DUPLICATO: BIRAGHINI è un prodotto diverso (formaggio in cubetti), non un refuso;GRATTUGIATO FRESCO GRAN BIRAGHINI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;96%;GRAN BIRAGHI GRATTUGIATO;1;GRAN BIRAGHINI GRATTUGIATO;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;;NON DUPLICATO: BIRAGHINI è un prodotto diverso (formaggio in cubetti), non un refuso;GRATTUGIATO FRESCO GRAN BIRAGHINI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;94%;GRATTIGIATO FRESCO GRAN BIRAGHI;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;1;GRATTUGIATO FRESCO GRAN BIRAGHINI;;NON DUPLICATO: BIRAGHINI è un prodotto diverso (formaggio in cubetti), non un refuso;GRATTUGIATO FRESCO GRAN BIRAGHINI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;99%;CONTORNO GHIOTTO CON VERDURE GRIGLIATE;2;CONTORNO GHOTTO CON VERDURE GRIGLIATE;1;CONTORNO GHIOTTO CON VERDURE GRIGLIATE;;DA RIVEDERE MANUALMENTE;CONTORNO GHIOTTO CON VERDURE GRIGLIATE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;99%;SALVIETTE MULTISUPERFICI MASTRO LINDO;1;SALVIETTE MULTISUPERFICIE MASTRO LINDO;1;SALVIETTE MULTISUPERFICIE MASTRO LINDO;;DA RIVEDERE MANUALMENTE;SALVIETTE MULTISUPERFICIE MASTRO LINDO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;99%;SGRASSATORE UNIVERSALE CHANTE CLAIR;1;SGRASSATORE UNIVERSALE CHANTE CLAIRE;1;SGRASSATORE UNIVERSALE CHANTE CLAIR;;DA RIVEDERE MANUALMENTE;SGRASSATORE UNIVERSALE CHANTE CLAIR;GIA COMPILATO;ALTA
ERRORE_BATTITURA;99%;CUBETTI COCKTAIL PREMIUM ICE CUBE;1;CUBETTI COCKTAIL PREMIUM ICE CUBES;1;CUBETTI COCKTAIL PREMIUM ICE CUBE;;DA RIVEDERE MANUALMENTE;CUBETTI COCKTAIL PREMIUM ICE CUBE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;MOZZARELLA BIO VALLELATA GALBANI;1;MOZZARELLA BIO VALLELLATA GALBANI;1;MOZZARELLA BIO VALLELATA GALBANI;;DA RIVEDERE MANUALMENTE;MOZZARELLA BIO VALLELATA GALBANI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;BONHARA DELL'OLTREPÒ PAVESE DOC;1;BONHARDA DELL'OLTREPÒ PAVESE DOC;1;BONARDA DELL'OLTREPO' PAVESE DOC;;DA RIVEDERE MANUALMENTE;BONARDA DELL'OLTREPO' PAVESE DOC;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;LATTE UNIT PARZIALMENTE SCREMATO;1;LATTE UNT PARZIALMENTE SCREMATO;1;LATTE UHT PARZIALMENTE SCREMATO;;DA RIVEDERE MANUALMENTE;LATTE UHT PARZIALMENTE SCREMATO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;NEGROAMARO PRIMITIVO SALENTO IGT;1;NEGROMARO PRIMITIVO SALENTO IGT;1;NEGROAMARO PRIMITIVO SALENTO IGT;;DA RIVEDERE MANUALMENTE;NEGROAMARO PRIMITIVO SALENTO IGT;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GAMBERO INDOPACIFICO SGUISCIATO;1;GAMBERO INDOPACIFICO SGUSCIATO;1;GAMBERO INDOPACIFICO SGUSCIATO;;DA RIVEDERE MANUALMENTE;GAMBERO INDOPACIFICO SGUSCIATO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GNOCCHETTI SPÄTZLE AGLI SPINACI;1;GNOCHETTI SPÄTZLE AGLI SPINACI;1;GNOCHETTI SPATZLE AGLI SPINACI;;DA RIVEDERE MANUALMENTE;GNOCHETTI SPATZLE AGLI SPINACI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SEPPIOLINE INDOPACIFICHE PULITE;1;SEPPOLINE INDOPACIFICHE PULITE;1;SEPPIOLINE INDOPACIFICHE PULITE;;DA RIVEDERE MANUALMENTE;SEPPIOLINE INDOPACIFICHE PULITE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;OMOGENEIZZATI DI CARNE PLASMON;1;OMOGENIZZATI DI CARNE PLASMON;1;OMOGENEIZZATI DI CARNE PLASMON;;DA RIVEDERE MANUALMENTE;OMOGENEIZZATI DI CARNE PLASMON;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;TONNO GOCCIA D'OLIO MARUZELLA;1;TONNO GOCCIA D'OLIO MARUZZELLA;1;TONNO GOCCIA D'OLIO MARUZZELLA;;DA RIVEDERE MANUALMENTE;TONNO GOCCIA D'OLIO MARUZZELLA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;CARAMELLE BOODOM VAMPIRE FINI;1;CARAMELLE BOOOM VAMPIRE FINI;1;CARAMELLE BOODOM VAMPIRE FINI;;DA RIVEDERE MANUALMENTE;CARAMELLE BOODOM VAMPIRE FINI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;CROCCANTINI PER CANI PREMINUM;1;CROCCANTINI PER CANI PREMIUM;1;CROCCANTINI PER CANI PREMIUM;;DA RIVEDERE MANUALMENTE;CROCCANTINI PER CANI PREMIUM;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GORGONZOLA DOP SENZA LATTOSIO;1;GORGONZOLA DOP SENZA LATTOSO;1;GORGONZOLA DOP SENZA LATTOSIO;;DA RIVEDERE MANUALMENTE;GORGONZOLA DOP SENZA LATTOSIO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PIADELLE TOAST MULINO BIANCO;1;PIADELLET TOAST MULINO BIANCO;1;PIADELLE TOAST MULINO BIANCO;;DA RIVEDERE MANUALMENTE;PIADELLE TOAST MULINO BIANCO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GAMBERI ARGENTINI SGUISCIATI;1;GAMBERI ARGENTINI SGUSCIATI;1;GAMBERI ARGENTINI SGUSCIATI;;DA RIVEDERE MANUALMENTE;GAMBERI ARGENTINI SGUSCIATI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PASTA DI ACCHIUGHE DELICIOUS;1;PASTA DI ACCHIUGHE DELICIUS;1;PASTA DI ACCHIUGHE DELICIOUS;;DA RIVEDERE MANUALMENTE;PASTA DI ACCHIUGHE DELICIOUS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PASTA DI ACCHIUGHE DELICIOUS;1;PASTA DI ACCIUGHE DELICIOUS;1;PASTA DI ACCHIUGHE DELICIOUS;;DA RIVEDERE MANUALMENTE;PASTA DI ACCHIUGHE DELICIOUS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SUGO ALLA MARINARA APPETAIS;1;SUGO ALLA MARINARA APPETATIS;1;SUGO ALLA MARINARA APPETAIS;;DA RIVEDERE MANUALMENTE;SUGO ALLA MARINARA APPETAIS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SUGO ALLA MARINARA APPETAIS;1;SUGO ALLA MARINARA APPETTAIS;1;SUGO ALLA MARINARA APPETAIS;;DA RIVEDERE MANUALMENTE;SUGO ALLA MARINARA APPETAIS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SUGO PRONTO GUSTI ASSORTISTI;1;SUGO PRONTO GUSTI ASSORTITI;1;SUGO PRONTO GUSTI ASSORTITI;;DA RIVEDERE MANUALMENTE;SUGO PRONTO GUSTI ASSORTITI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;TRANCETTI DI TONNO NOSTROMO;1;TRANCHETTI DI TONNO NOSTROMO;1;TRANCETTI DI TONNO NOSTROMO;;DA RIVEDERE MANUALMENTE;TRANCETTI DI TONNO NOSTROMO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;TRANCETTI DI TONNO NOSTROMO;1;TRANCIETTI DI TONNO NOSTROMO;1;TRANCETTI DI TONNO NOSTROMO;;DA RIVEDERE MANUALMENTE;TRANCETTI DI TONNO NOSTROMO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;CAFFÈ INTERMEZZO SEGAFREDDO;1;CAFFÈ INTERMEZZO SEGAFREDO;1;CAFFE' INTERMEZZO SEGAFREDO;;DA RIVEDERE MANUALMENTE;CAFFE' INTERMEZZO SEGAFREDO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FARINATA GENOVESE APPETAIS;1;FARINATA GENOVESE APPETTAIS;1;FARINATA GENOVESE APPETAIS;;DA RIVEDERE MANUALMENTE;FARINATA GENOVESE APPETAIS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FILETTI DI TONNO MARUZELLA;1;FILETTI DI TONNO MARUZZELLA;1;FILETTI DI TONNO MARUZZELLA;;DA RIVEDERE MANUALMENTE;FILETTI DI TONNO MARUZZELLA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GUESTO-GUSTO SENZA LATTOSIO;1;GUSTO-GUSTO SENZA LATTOSIO;1;GUSTO-GUSTO SENZA LATTOSIO;;DA RIVEDERE MANUALMENTE;GUSTO-GUSTO SENZA LATTOSIO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;LATTE UNIT ACCADI GRANAROLO;1;LATTE UNT ACCADI GRANAROLO;1;LATTE UHT ACCADI GRANAROLO;;DA RIVEDERE MANUALMENTE;LATTE UHT ACCADI GRANAROLO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;MINI COPPA FAMIGLIA TONITO;1;MINI COPPA FAMIGLIA TONITTO;1;MINI COPPA FAMIGLIA TONITTO;;DA RIVEDERE MANUALMENTE;MINI COPPA FAMIGLIA TONITTO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PREPARATO PER DESSERT ELAH;1;PREPARATO PER DESSERT ELIAH;1;PREPARATO PER DESSERT ELAH;;DA RIVEDERE MANUALMENTE;PREPARATO PER DESSERT ELAH;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SUGO ALLE VONGOLE APPETAIS;1;SUGO ALLE VONGOLE APPETTAIS;1;SUGO ALLE VONGOLE APPETAIS;;DA RIVEDERE MANUALMENTE;SUGO ALLE VONGOLE APPETAIS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;TRANCI DI PIZZA MARGHERITA;1;TRANCIO DI PIZZA MARGHERITA;1;TRANCI DI PIZZA MARGHERITA;;DA RIVEDERE MANUALMENTE;TRANCI DI PIZZA MARGHERITA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;ACETO DI ALCOL BRILLACETO;1;ACETO DI ALCOL BRILLACETTO;1;ACETO DI ALCOL BRILLACETO;;DA RIVEDERE MANUALMENTE;ACETO DI ALCOL BRILLACETO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;BARBERA DEL MONFERRAT DOC;1;BARBERA DEL MONFERRATO DOC;1;BARBERA DEL MONFERRATO DOC;;DA RIVEDERE MANUALMENTE;BARBERA DEL MONFERRATO DOC;GIA COMPILATO;ALTA
